Id,SalePrice
1461,121653.68972153205
1462,159399.16193570042
1463,179627.12081291975
1464,179955.41091833115
1465,188181.0007477152
1466,176002.34425714478
1467,183383.6329162341
1468,168750.4521958493
1469,193007.72300489337
1470,121867.05338697808
1471,203622.62263381213
1472,97029.15209968718
1473,100759.70979361849
1474,152768.5030202482
1475,117028.46440885474
1476,374944.01874984865
1477,263573.263438287
1478,289353.3386864145
1479,270274.66384823306
1480,485780.560252477
1481,333776.84191801003
1482,200662.53323369322
1483,178704.99528397975
1484,164414.73603378332
1485,178158.24992782736
1486,193539.2681197274
1487,357224.898408357
1488,229724.71120174503
1489,195907.37072072737
1490,202645.70294033852
1491,186395.0965541853
1492,94237.65604601591
1493,184529.5889922256
1494,296147.1325604648
1495,310375.1487172489
1496,219496.85417171405
1497,178431.19555606632
1498,158220.89252824892
1499,164541.83616538526
1500,158422.87522672777
1501,168475.13805474844
1502,153813.40658340527
1503,301514.6778232659
1504,224843.61695752974
1505,218796.90142636083
1506,196829.03568214583
1507,231181.6188898013
1508,195861.52061637942
1509,150529.2142298333
1510,146385.56167928776
1511,138001.26798819585
1512,176821.97375364433
1513,139097.36014097545
1514,180336.6166014571
1515,198477.24440318588
1516,154567.18029898143
1517,161153.06662504893
1518,136049.36101601424
1519,218364.3546212381
1520,132888.5405916784
1521,134746.3885563681
1522,166171.49329384093
1523,109952.83440964187
1524,125199.10400861985
1525,123181.24263985273
1526,123428.79013407227
1527,110511.31250572702
1528,136929.5438109418
1529,148278.07370040054
1530,178260.33175039195
1531,92399.5695917933
1532,102879.80413621315
1533,147131.33071348493
1534,120888.66962624039
1535,150539.75112248317
1536,112255.63881119688
1537,80371.13130853989
1538,169157.07735941274
1539,193421.8239916993
1540,114532.32040180788
1541,143528.95587172778
1542,139558.35774043712
1543,223839.74282426358
1544,76460.01193218323
1545,115181.57784051028
1546,126838.96560286132
1547,126776.1257357555
1548,136345.26119554005
1549,113152.99964341595
1550,130613.67426917062
1551,121814.21169306285
1552,132265.8948596272
1553,152495.30632364788
1554,109513.42871169474
1555,162106.74855170684
1556,77819.50732696221
1557,110597.59071060189
1558,99146.39028674708
1559,99567.09523914875
1560,138132.6634068004
1561,164793.22163739437
1562,130319.12159591728
1563,122773.61460748436
1564,154752.34006307813
1565,134591.9562503527
1566,227651.80707309413
1567,77481.01633539326
1568,216225.77047813815
1569,151301.14015339446
1570,139138.2979464024
1571,105416.40332420508
1572,144280.41378258416
1573,281572.71420609177
1574,120785.34270685044
1575,213895.42388728852
1576,223171.92013468203
1577,188120.63745427504
1578,146938.18368119097
1579,136554.02744464204
1580,191713.3869379798
1581,152141.9067646588
1582,130266.13723584982
1583,346741.7682958825
1584,236156.75172094646
1585,141783.0265789636
1586,69012.78473164258
1587,101904.29601534981
1588,150098.71295475872
1589,99349.35185311873
1590,131225.3809581136
1591,97326.46784640395
1592,124785.7119108481
1593,134500.94637036047
1594,125610.19271381431
1595,122367.11199078483
1596,259275.64123857222
1597,209918.20524220198
1598,221448.42465164984
1599,191685.22977529583
1600,183809.58054076578
1601,62204.302121989174
1602,117340.79706624661
1603,102037.08665848045
1604,274050.8180286708
1605,241527.0644274074
1606,173714.93943569192
1607,165192.05196157208
1608,215396.19245352282
1609,186944.96494775693
1610,145873.50385594132
1611,139056.74732937268
1612,156787.57046938824
1613,149883.66104508968
1614,132921.19300442978
1615,94071.27744623736
1616,76375.91031539865
1617,94550.96466142134
1618,127500.82282194484
1619,134745.4883328702
1620,172547.26033437118
1621,128277.27356578285
1622,134442.10338999148
1623,308070.88096315064
1624,209761.18602037276
1625,130600.62693469631
1626,170121.0150163786
1627,183574.94378031665
1628,272951.2877590484
1629,166673.39295583166
